Date,Competition Name,Home team,Opponent,Away team,Minute,Score Home Team - When Messi Scored,Score Away Team - When Messi Scored,Goal Type,Goal Method,Final Game Result
Saturday 20 December 2014,Liga,FC Barcelona,Córdoba,Córdoba,82,4,0,,Right foot,Won
Sunday 7 December 2014,Liga,FC Barcelona,Espanyol,Espanyol,81,5,1,,Right foot,Won
Sunday 7 December 2014,Liga,FC Barcelona,Espanyol,Espanyol,50,2,1,,Right foot,Won
Saturday 22 November 2014,Liga,FC Barcelona,Sevilla,Sevilla,72,4,1,,Right foot,Won
Saturday 27 September 2014,Liga,FC Barcelona,Granada,Granada,82,6,0,,Right foot,Won
Saturday 27 September 2014,Liga,FC Barcelona,Granada,Granada,62,4,0,,Head,Won
Saturday 5 April 2014,Liga,FC Barcelona,Real Betis,Real Betis,86,3,1,Rebound,Right foot,Won
Wednesday 26 March 2014,Liga,FC Barcelona,Celta de Vigo,Celta de Vigo,30,2,0,,Right foot,Won
Sunday 16 March 2014,Liga,FC Barcelona,Osasuna,Osasuna,88,6,0,,Right foot,Won
Tuesday 24 September 2013,Liga,FC Barcelona,Real Sociedad,Real Sociedad,8,2,0,,Head,Won
Sunday 27 January 2013,Liga,FC Barcelona,Osasuna,Osasuna,11,1,0,,Right foot,Won
Saturday 1 December 2012,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,70,5,1,,Right foot,Won
Saturday 19 November 2011,Liga,FC Barcelona,Real Zaragoza,Real Zaragoza,43,2,0,,Right foot,Won
Saturday 29 October 2011,Liga,FC Barcelona,Real Mallorca,Real Mallorca,21,2,0,,Right foot,Won
Saturday 15 October 2011,Liga,FC Barcelona,Racing Santander,Racing Santander,68,3,0,,Right foot,Won
Saturday 15 October 2011,Liga,FC Barcelona,Racing Santander,Racing Santander,11,1,0,,Right foot,Won
Monday 29 August 2011,Liga,FC Barcelona,Villarreal,Villarreal,52,4,0,,Right foot,Won
Saturday 23 April 2011,Liga,FC Barcelona,Osasuna,Osasuna,87,2,0,,Right foot,Won
Sunday 20 February 2011,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,78,2,1,,Right foot,Won
Saturday 13 November 2010,Liga,FC Barcelona,Villarreal,Villarreal,58,2,1,,Right foot,Won
Sunday 16 May 2010,Liga,FC Barcelona,Real Valladolid,Real Valladolid,62,3,0,,Right foot,Won
Tuesday 4 May 2010,Liga,FC Barcelona,Tenerife,Tenerife,90+3,4,1,,Right foot,Won
Tuesday 4 May 2010,Liga,FC Barcelona,Tenerife,Tenerife,17,1,0,,Right foot,Won
Sunday 14 March 2010,Liga,FC Barcelona,Valencia,Valencia,83,3,0,,Right foot,Won
Saturday 27 February 2010,Liga,FC Barcelona,Málaga,Málaga,84,2,1,Field goal,Right foot,Won
Saturday 19 September 2009,Liga,FC Barcelona,Atlético Madrid,Atlético Madrid,90+4,5,2,,Right foot,Won
Sunday 22 March 2009,Liga,FC Barcelona,Málaga,Málaga,25,2,0,,Right foot,Won
Saturday 24 January 2009,Liga,FC Barcelona,Numancia,Numancia,76,4,1,Rebound,Right foot,Won
Saturday 9 June 2007,Liga,FC Barcelona,Espanyol,Espanyol,57,2,1,,Right foot,Draw
Saturday 9 June 2007,Liga,FC Barcelona,Espanyol,Espanyol,43,1,1,,Hand,Draw
Sunday 15 October 2006,Liga,FC Barcelona,Sevilla,Sevilla,81,3,1,,Right foot,Won
Tuesday 18 September 2018,Champions League,FC Barcelona,PSV Eindhoven,PSV Eindhoven,87,4,0,Field goal,Right foot,Won
Wednesday 14 March 2018,Champions League,FC Barcelona,Chelsea,Chelsea,3,1,0,Field goal,Right foot,Won
Wednesday 17 August 2016,,FC Barcelona,Sevilla,Sevilla,55,3,0,Field goal,Head,Won
Wednesday 6 May 2015,Champions League,FC Barcelona,Bayern München,Bayern München,80,2,0,,Right foot,Won
Wednesday 10 December 2014,Champions League,FC Barcelona,Paris Saint-Germain,Paris Saint-Germain,19,1,1,,Right foot,Won
Wednesday 19 September 2012,Champions League,FC Barcelona,Spartak Moscow,Spartak Moscow,80,3,2,,Head,Won
Wednesday 7 March 2012,Champions League,FC Barcelona,Bayer Leverkusen,Bayer Leverkusen,49,3,0,,Right foot,Won
Wednesday 4 January 2012,,FC Barcelona,Osasuna,Osasuna,73,3,0,,Head,Won
Wednesday 17 August 2011,,FC Barcelona,Real Madrid,Real Madrid,45,2,1,Field goal,Right foot,Won
Saturday 21 August 2010,,FC Barcelona,Sevilla,Sevilla,43,3,0,,Right foot,Won
